0,1,2,3,4,5,6,7,8,9,10,11,table_id,table_page
99,1/III/2023,"15-03-
2023","Strzelce 
Opolskie","27-03-
2023","27-03-
2023","Publiczna Szkoła 
Podstawowa nr 1 
 
Platforma 
Obywatelska RP","Jacek 
Łukaszczyk 
Jan Grabiec",wynajem sali,"400,00",negocjacje,-,24,24
100,"388752/Z/
2023","15-03-
2023",Warszawa,"17-03-
2023","26-03-
2023","Ringier Axel 
Springer Polska 
Sp.zo.o. 
 
 
Platforma 
Obywatelska RP","Agata 
Brewczyńska 
 
 
Jan Grabiec","emisja 
kampanii 
reklamowej 
na portalu 
Onet","84870,00",negocjacje,-,24,24
101,"P64/BL/22
/2023","15-03-
2023",Warszawa,"22-03-
2023","22-03-
2023","Miasto Stołeczne 
Warszawa 
 
Platforma 
Obywatelska RP","Katarzyna 
Konik 
Jan Grabiec",wynajem sali,"300,00",negocjacje,-,24,24
102,"82/MOK/2
023","15-03-
2023","Kędzierzy
n- Koźle","15-03-
2023","15-03-
2023","Miejski Ośrodek 
Kultury 
Platforma 
Obywatelska RP","Piotr Gabrysz 
Michał Nowak",wynajem sali,"319,80",negocjacje,-,24,24
103,-,"15-03-
2023",Gdańsk,"22-03-
2023","23-03-
2023","Międzynarodow
e Targi Gdańskie 
S.A. 
 
 
Platforma 
Obywatelska RP","Igor Dębski 
 
Jan Grabiec","wynajem  
sali 
konferencyjne
j","4092,00",negocjacje,-,25,25
104,"190871/M
ZDA/03/2
023/M/07","16-03-
2023",Warszawa,"16-03-
2023","27-03-
2023","Wirtualna Polska 
S.A. 
Platforma 
Obywatelska RP","Maciej 
Zdanowicz 
 
 
Jan Grabiec","emisja 
kampanii 
reklamowej 
na portalu 
Wirtualna 
Polska","44280,00",negocjacje,-,25,25
105,-,"16-03-
2023","Ruda 
Śląska","17-03-
2023","19-03-
2023","Grupa Protektom 
Sp.zo.o. 
 
 
Platforma 
Obywatelska RP","Tomasz 
Bubała, 
Sebastian 
Guza 
 
 
Jan Grabiec","usługa 
ochrony 
fizycznej i 
mienia","27675,00",negocjacje,-,25,25
106,49/23,"16-03-
2023","Jastrzębie
- Zdrój","17-03-
2023","17-03-
2023","Miejski Ośrodek 
Kultury 
 
Platforma 
Obywatelska RP","Janusz Jurczak 
Jan Grabiec",wynajem sali,"276,75",negocjacje,-,25,25
107,-,"17-03-
2023",Pszczyna,"20-03-
2023","20-03-
2023","Muzeum 
Zamkowe w 
Pszczynie 
Platforma 
Obywatelska RP","Maciej Klussa 
 
 
Jan Grabiec",wynajem sali,"3997,50",negocjacje,-,25,25
108,"AD.2501.7
.2023","17-03-
2023",Brodnica,"03-04-
2023","03-04-
2023","Gmina Miasta 
Brodnicy  
 
 
 
Platforma 
Obywatelska RP","Jarosław 
Radacz 
Jan Grabiec",wynajem sali,"151,30",negocjacje,-,26,26
109,"17/ZSEiL/
2023","17-03-
2023","Sosnowie
c","17-03-
2023","17-03-
2023","Gmina 
Sosnowiec 
Platforma 
Obywatelska RP","Marzena Wola 
Mateusz 
Bochenek",wynajem sali,"123,00",negocjacje,-,26,26
110,-,"20-03-
2023","Trzebown
isko","25-03-
2023","25-03-
2023","Gmina 
Trzebownisko 
 
 
 
Platforma 
Obywatelska RP","Lesław 
Kuźniar 
Jan Grabiec",wynajem sali,"110,70",negocjacje,-,26,26
111,-,"20-03-
2023",Warszawa,"01-04-
2023","30-04-
2023","True Story 
Media 
 
 
Platforma 
Obywatelska RP","Anna 
Gościniak 
 
 
 
Jan Grabiec","druk i 
ekspozycja na 
nośnikach 
reklamy","1798483,36",negocjacje,-,26,26
112,12/2023/N,"20-03-
2023","Częstocho
wa","23-03-
2023","23-03-
2023","Gmina Miasto 
Częstochowa 
 
 
 
Platforma 
Obywatelska RP","Jadwiga Sipa 
 
 
Jan Grabiec",wynajem sali,"2460,00",negocjacje,-,26,26
113,8/2023,"20-03-
2023","Niemodli
n","27-03-
2023","27-03-
2023","Ośrodek Kultury 
Platforma 
Obywatelska RP","Katarzyna 
Paszula 
Jan Grabiec",wynajem sali,"150,00",negocjacje,-,27,27
114,-,"21-03-
2023",Grodków,"27-03-
2023","27-03-
2023","Restauracja Pod 
Złotym Lwem 
Platforma 
Obywatelska RP","Renata 
Gajewska 
Jan Grabiec",wynajem sali,"442,80",negocjacje,-,27,27
115,-,"23-03-
2023",Kietrz,"27-03-
2023","27-03-
2023","Jesionowy Dwór 
 
 
Platforma 
Obywatelska RP","Waldemar  
Wójcicki 
 
Jan Grabiec",wynajem sali,"300,00",negocjacje,-,27,27
116,"DP/09/202
3/N","23-03-
2023",Warszawa,"27-03-
2023","27-03-
2023","Ursynowskie 
Centrum Kultury 
„Alternatywy” 
Platforma 
Obywatelska RP","Krzysztof 
Czubaszek 
 
 
Jan Grabiec",wynajem sali,"492,00",negocjacje,-,27,27
117,-,"24-03-
2023","Sosnowie
c","25-03-
2023","25-03-
2023","Gmina 
Sosnowiec 
Platforma 
Obywatelska RP","Jerzy Górak 
 
 
 
Jan Grabiec",wynajem sali,"7000,00",negocjacje,-,27,27
118,-,"27-03-
2023",Warszawa,"27-03-
2023","10-05-
2023","Rio Creativo sp. 
z o.o. 
Platforma 
Obywatelska RP","Marcin 
Zgórski 
 
 
 
Jan Grabiec","świadczenie 
usług 
reklamowych","88560,00",negocjacje,-,28,28
119,-,"27-03-
2023","Głubczyc
e","27-03-
2023","27-03-
2023","FHU MEGA 
Platforma 
Obywatelska RP","Małgorzata 
Peszko 
Jan Grabiec",wynajem sali,"300,00",negocjacje,-,28,28
120,-,"27-03-
2023",Prudnik,"27-03-
2023","27-03-
2023","Hotel Oaza 
Platforma 
Obywatelska RP","Eryk Kurpet 
Jan Grabiec",wynajem sali,"350,00",negocjacje,-,28,28
121,-,"27-03-
2023",Głogówek,"27-03-
2023","27-03-
2023","Gastro Kern 
Sebastian Kern 
Platforma 
Obywatelska RP","Sebastian Kern 
Jan Grabiec","w
ynajem sali","300,00",negocjacje,-,28,28
122,-,"27-03-
2023","Kędzierzy
n-Koźle","27-03-
2023","27-03-
2023","Miejski Ośrodek 
Kultury 
 
 
Platforma 
Obywatelska RP","Piotr Grabrysz 
 
Jan Grabiec",wynajem sali,"467,40",negocjacje,-,28,28
123,-,"27-03-
2023",Opole,"27-03-
2023","27-03-
2023","Muzeum Śląska 
Opolskiego 
Platforma 
Obywatelska RP","Iwona Solisz 
Jan Grabiec","w
ynajem sali","650,00",negocjacje,,29,29
124,54871535,"27-03-
2023",Warszawa,"05-04-
2023","04-04-
2024","Auto Wimar sp. 
z o.o. 
 
 
 
Platforma 
Obywatelska RP","Paulina 
Zychlak 
Jan Grabiec","u
bezpieczenie","5190,00",negocjacje,-,29,29
125,-,"29-03-
2023",Warszawa,"29-03-
2023","31-03-
2023","Opinia24  
Platforma 
Obywatelska RP","Przemysław 
Wójtowicz 
Jan Grabiec",analiza,"15621,00",negocjacje,-,29,29
126,-,"29-03-
2023",Warszawa,"29-03-
2023","31-03-
2023","Opinia24  
 
 
Platforma 
Obywatelska RP","Przemysław 
Wójtowicz 
  
Jan Grabiec",analiza,"13038,00",negocjacje,-,29,29
127,"121/ZW/E
L/2023","30-03-
2023","Bydgoszc
z","03-04-
2023","03-04-
2023","Miasto 
Bydgoszcz 
Platforma 
Obywatelska RP","Marcin 
Ossowski 
 
 
 
Jan Grabiec",wynajem sali,"1845,00",negocjacje,-,29,29
128,"17/OFI/20
2303/DSA
/005","31-03-
2023",Warszawa,"03-04-
2023","03-04-
2023","Seris Konsalnet 
Holding S.A. 
Platforma 
Obywatelska RP","Tomasz 
Wojak, 
Mirosław 
Pyrzyna 
 
 
Jan Grabiec","ochrona 
terenu","615,00",negocjacje,-,30,30
129,1/4/2023,"31-03-
2023",Chełmno,"03-04-
2023","03-04-
2023","Powiat 
Chełmiński 
Platforma 
Obywatelska RP","Jacek 
Kordowski 
 
 
Jakub 
Danilewicz",wynajem sali,"500,00",negocjacje,-,30,30
130,"12/DAK/2
023","31-03-
2023","Włocławe
k","03-04-
2023","03-04-
2023","Centrum 
Kultury”Browar 
B.” 
 
 
Platforma 
Obywatelska RP","Lidia 
Piechota-
Witczak 
 
Jan Grabiec",wynajem sali,"738,00",negocjacje,-,30,30
131,"2023/03/3
1/7000134
0/2944","31-03-
2023",Warszawa,"01-05-
2023","24 
miesiące","Polkomtel sp. z 
o.o.  
Platforma 
Obywatelska RP","Marcin 
Szafraniec 
 
Jan Grabiec","usługi 
telekomunika
cyjne","55,35",negocjacje,-,30,30
132,"2023/03/3
1/7000134
0/2945","31-03-
2023",Warszawa,"01-05-
2023","24 
miesiące","Polkomtel sp. z 
o.o.  
  
Platforma 
Obywatelska RP","Marcin 
Szafraniec 
  
 
Jan Grabiec","usługi 
telekomunika
cyjne","55,35",negocjacje,-,30,30
133,"2023/03/3
1/7000134
0/2946","31-03-
2023",Warszawa,"01-05-
2023","24 
miesiące","Polkomtel sp. z 
o.o. 
Platforma 
Obywatelska RP","Marcin 
Szafraniec 
Jan Grabiec","usługi 
telekomunika
cyjne","55,35",negocjacje,-,31,31
134,"2023/03/3
1/7000134
0/2947","31-03-
2023",Warszawa,"01-05-
2023","24 
miesiące","Polkomtel sp. z 
o.o.  
Platforma 
Obywatelska RP","Marcin 
Szafraniec 
 
Jan Grabiec","usługi 
telekomunika
cyjne","55,35",negocjacje,-,31,31
135,"2023/03/3
1/7000134
0/2948","31-03-
2023",Warszawa,"01-05-
2023","24 
miesiące","Polkomtel sp. z 
o.o.  
  
Platforma 
Obywatelska RP","Marcin 
Szafraniec 
 
Jan Grabiec","usługi 
telekomunika
cyjne","55,35",negocjacje,-,31,31
136,"87/03.KP/
2023","31-03-
2023","Włocławe
k","31-03-
2023","03-04-
2023","VMEDIA 
Platforma 
Obywatelska RP","Katarzyna 
Piątek 
Katarzyna 
Zarębska","emisja w 
internecie","496,00",negocjacje,-,31,31
137,"519/O/ 
2023","03-04-
2023",Toruń,"03-04-
2023","03-04-
2023","Taurus Ochrona 
Group Sp.zo.o 
 
 
 
Platforma 
Obywatelska RP","Katarzyna 
Mirowska- 
Żuberek 
 
 
 
Jan Grabiec","ochrona i 
zabezpieczeni
e imprezy","861,00",negocjacje,-,31,31
138,"2023/DAT
/19","04-04-
2023",Puławy,"17-04-
2023","17-04-
2023","Puławski Park 
Naukowo-
Technologiczny 
sp. z o.o.  
 
Platforma 
Obywatelska RP","Tomasz 
Szymajda  
 
Jan Grabiec",wynajem sali,"246,00",negocjacje,-,32,32
139,-,"05-04-
2023",Tyczyn,"16-04-
2023","16-04-
2023","Miejsko-Gminny 
Ośreodek 
Kultury 
 
Platforma 
Obywatelska RP","Magdalena 
Żukowska 
Jan Grabiec","w
ynajem sali","246,00",negocjacje,-,32,32
140,-,"12-04-
2023",Warszawa,"12-04-
2023","13-04-
2023","Opinia24  
 
 
 
Platforma 
Obywatelska RP","Przemysław 
Wójtowicz 
  
 
 
Jan Grabiec","ekspertyza 
społeczno-
polityczna","14145,00",negocjacje,-,32,32
141,-,"12-04-
2023",Warszawa,"12-04-
2023","13-04-
2023","Mantle Poland 
sp. z o.o. 
 
Platforma 
Obywatelska RP","Urszula 
Krassowska  
 
Jan Grabiec","ekspertyza 
społeczno-
polityczna","35670,00",negocjacje,-,32,32
142,-,"12-04-
2023",Warszawa,"12-04-
2023","18-05-
2023","EDGE NPD sp. 
z o.o. 
Platforma 
Obywatelska RP","Dobromir 
Ciaś 
 
Jan Grabiec",analiza,"79704,00",negocjacje,-,32,32
143,-,"12-04-
2023","Szepietow
o","20-04-
2023","20-04-
2023","Gminny Ośrodek 
Kultury w 
Szepietowie 
Platforma 
Obywatelska RP","Tomasz 
Paduch 
 
 
Jan Grabiec",wynajem sali,"400,00",negocjacje,-,33,33
144,3/2023,"13-04-
2023","Mińsk 
Mazowiec
ki","14-04-
2023","14-04-
2023","Miejska 
Biblioteka 
Publiczna 
Platforma 
Obywatelska RP","Karolina 
Wieczorek 
 
Jan Grabiec",najem sali,"600,00",negocjacje,-,33,33
145,-,"14-04-
2023",Zamość,"17-04-
2023","17-04-
2023","Gmina Zamość 
Platforma 
Obywatelska RP","Ryszard 
Gliwiński 
Jan Grabiec",najem sali,"376,75",negocjacje,-,33,33
146,10/2023,"14-04-
2023","Biała 
Podlaska","17-04-
2023","17-04-
2023","Gmina Miejska 
Biała Podlaska  
Platforma 
Obywatelska RP","Aleksandra 
Dopierała 
Jan Grabiec",najem hali,"1470,00",negocjacje,-,33,33
147,-,"14-04-
2023",Warszawa,"20-04-
2023","20-04-
2023","Gmina 
Juchnowiec 
Kościelny  
Platforma 
Obywatelska RP","Marcin 
Hoduna  
 
Jan Grabiec",najem sali,"1100,00",negocjacje,-,33,33
148,-,"14-04-
2023",Grajewo,"20-04-
2023","20-04-
2023","Grajewskie 
Centrum Kultury  
Platforma 
Obywatelska RP","Tomasz 
Dudziński  
 
Jan Grabiec",najem sali,"147,60",negocjacje,-,34,34
149,-,"14-04-
2023",Mielec,"24-04-
2023","24-04-
2023","Samorządowe 
Centrum Kultury  
 
Platforma 
Obywatelska RP","Joanna 
Kruszyńska 
 
 
Jan Grabiec",najem sali,"140,00",negocjacje,-,34,34
150,-,"15-04-
2023","Legionow
o","01-05-
2023","czas 
nieokreślo
ny","Spółka Spes BP 
sp. z o.o. 
Platforma 
Obywatelska RP","Jarosław 
Panek  
 
Jan Grabiec",najem lokalu,"615,00 
miesięcznie
+opłaty za 
media",negocjacje,-,34,34
151,-,"15-04-
2023",Warszawa,"15-04-
2023","15-08-
2023","AppWorks 
Software House 
Sp.zo.o. 
Platforma 
Obywatelska RP","Tomasz 
Stankiewicz 
Jan Grabiec","usługi 
informatyczne 
o charakterze 
developerski
m","15990,00 
miesięcznie",negocjacje,-,34,34
152,-,"19-04-
2023",Warszawa,"19-04-
2023","08-05-
2023","Yolk Studio 
Chmielarz 
Żubrowski  SJ 
Piotr Żubrowski 
 
Platforma 
Obywatelska RP","Katarzyna 
Chmielarz 
Jan Grabiec","scenariusz do 
spotu","4305,00",negocjacje,-,34,34
153,-,"19-04-
2023",Gródek,"20-04-
2023","20-04-
2023","Gminne 
Centrum Kultury 
w Gródku 
 
Platforma 
Obywatelska RP","Magdalena 
Łotysz 
Jan Grabiec","najem 
pomieszczeni
a","100,00",negocjacje,-,35,35
154,-,"21-04-
2023",Strzyżów,"24-04-
2023","24-04-
2023","Biblioteka 
Publiczna 
Gminy i Miasta 
im. Juliana 
Przybosia w 
Strzyżowie 
 
Platforma 
Obywatelska RP","Marta Utnicka 
 
Jan Grabiec",najem sali,"150,00",negocjacje,-,35,35
155,-,"21-04-
2023",Rzeszów,"24-04-
2023","24-04-
2023","Karabela- 
Serwis Sp.zo.o. 
 
Platforma 
Obywatelska RP","Ryszard 
Chromiak 
 
Jan Grabiec","usługa 
ochrony 
fizycznej","984,00",negocjacje,-,35,35
156,24/2023,"24-04-
2023","Tarnobrze
g","24-04-
2023","24-04-
2023","Miasto 
Tarnobrzeg 
 
Platforma 
Obywatelska RP","Marcin 
Pilarski 
 
Jan Grabiec",wynajem sali,"774,90",negocjacje,-,35,35
157,-,"25-04-
2023",Warszawa,"25-04-
2023","31-08-
2023","Opinia24  
  
Platforma 
Obywatelska RP","Michał 
Kluczek 
  
  
 
Jan Grabiec","ekspertyza 
społeczno-
polityczna","60270,00",negocjacje,-,35,35
158,-,"25-04-
2023",Warszawa,"02-05-
2023","31-07-
2023","Opinia24  
  
Platforma 
Obywatelska RP","Michał 
Kluczek 
  
Jan Grabiec","ekspertyza 
społeczno-
polityczna","152796,75",negocjacje,-,36,36
159,-,"26-04-
2023",Warszawa,"16-05-
2023","04-06-
2023","True Story 
Media 
  
 
Platforma 
Obywatelska RP","Anna 
Gościniak 
Jan Grabiec","druk i 
prezentacja 
materiałów na 
nośnikach 
reklamy","411743,94",negocjacje,-,36,36
160,"Aneks do 
umowy z 
dnia 27-
02-2023","28-04-
2023",Warszawa,"27-02-
2023","07-05-
2023","Warsaw 
Memetica 
Franciszek 
Bielowicki 
 
Platforma 
Obywatelska RP","Magdalena 
Elżbieta 
Bielowicka 
Jan Grabiec","Aneks do 
umowy 
zaprojektowa
nia 
kwestionarius
za z dnia 27-
02-2023","22740,00",negocjacje,-,36,36
161,-,"28-04-
2023",Kraków,"17-06-
2023","17-06-
2023","Jason Fiołek-
Szamreta 
WEMAKESUC
CES  
 
Platforma 
Obywatelska RP","Jason Fiołek-
Szamreta  
Jan Grabiec","wynajem 
urządzenia","3075,00",negocjacje,-,36,36
162,-,"29-04-
2023","Bolesławi
ec","01-05-
2023","01-10-
2023","B&B 
Nieruchomości 
s.c. 
 
 
Platforma 
Obywatelska RP","Krystyna 
Bałacka 
Jan Grabiec",najem biura,"307,50 
miesięcznie",negocjacje,-,36,36
163,-,"01-05-
2023",Warszawa,"01-05-
2023","czas 
nieokreślo
ny","Interleo sp. z o.o. 
 
Platforma 
Obywatelska RP","Krystian 
Świtaj 
Jan Grabiec","projekty 
graficzne","9840,00 
miesięcznie",negocjacje,-,37,37
164,"Aneks do 
umowy z 
dnia  30-
11-2022","01-05-
2023",Warszawa,"30-11-
2022","31-05-
2023","YES WE CAN 
sp. zo.o. 
 
 
Platforma 
Obywatelska RP","Rafał 
Bojanowski 
Jan Grabiec","Aneks do 
umowy 
monitoringu 
internetu z 
dnia  30-11-
2022","2460,00",negocjacje,-,37,37
165,-,"08-05-
2023",Słupsk,"18-05-
2023","18-05-
2023","Miasto Słupsk_ 
Słupski OSIR 
  
Platforma 
Obywatelska RP","Agnieszka 
Klimczak  
Jan Grabiec",najem hali,"3600,00",negocjacje,-,37,37
166,-,"09-05-
2023","Czerwień
sk","11-05-
2023","11-05-
2023","Miejsko-Gminny 
Ośrodek Kultury  
 
Platforma 
Obywatelska RP","Jolanta 
Matuszkiewicz 
Jan Grabiec",najem sali,"160,00",negocjacje,-,37,37
167,-,"09-05-
2023",Warszawa,"17-05-
2023","17-05-
2023","Centrum 
Promocji 
Kultury w 
Dzielnicy Praga-
Południe 
  
Platforma 
Obywatelska RP","Mirosław 
Salach  
Jan Grabiec",najem sali,"172,20",negocjacje,-,37,37
168,54971614,"09-05-
2023",Warszawa,"21-05-
2023","20-05-
2024","Auto Wimar sp. 
z o.o. 
  
 
Platforma 
Obywatelska RP","Magdalena 
Kolańska 
Jan Grabiec","ubezpieczenie
-polisa","6092,00",negocjacje,-,38,38
169,-,"09-05-
2023",Kraków,"15-05-
2023","15-05-
2023","Towarzystwo 
Sportowe Wisła 
Kraków 
Platforma 
Obywatelska RP","Tomasz 
Jażdżyński 
Dorota 
Gburczyk-
Sikora 
 
Jan Grabiec","w
ynajem sali","23370,00",negocjacje,-,38,38
170,"ADM.221.
4.2023.KS","10-05-
2023",Warszawa,"17-05-
2023","17-05-
2023","Biblioteka 
Publiczna im. 
Jana Pawła II w 
Dzielnicy 
Rembertów 
M.st. Warszawy 
 
Platforma 
Obywatelska RP","Anna Sajnóg 
Jan Grabiec",najem sali,"875,00",negocjacje,-,38,38
171,-,"10-05-
2023","Krosno 
Odrzański
e","11-05-
2023","11-05-
2023","Mediateka- 
Biblioteka 
Publiczna w 
Krośnie 
Odrzańskim 
 
Platforma 
Obywatelska RP","Agnieszka 
Langner- 
Kosmaty 
Jan Grabiec",najem sali,"150,00",negocjacje,-,38,38
172,16/2023,"10-05-
2023",Lubsko,"11-05-
2023","11-05-
2023","Biblioteka_Centr
um Kultury im. 
Jana Raka 
  
 
Platforma 
Obywatelska RP","Paweł 
Skrzypczyński 
 
Jan Grabiec",najem sali,"553,50",negocjacje,-,38,38
173,-,"10-05-
2023","Krosno 
Odrzański
e","11-05-
2023","11-05-
2023","Gmina Krosno 
Odrzańskie_OSI
R 
 
 
Platforma 
Obywatelska RP","Tomasz Struk 
Kamila Łabuć 
Jan Grabiec",najem sali,"80,00",negocjacje,-,39,39
174,-,"10-05-
2023",Kraków,"15-05-
2023","15-05-
2023","Teatr Łaźnia 
Nowa 
Platforma 
Obywatelska RP","Ewa 
Wolniewicz 
Jan Grabiec",najem sali,"1000,00",negocjacje,-,39,39
175,"RIDO 
6564 
23/23/036
9/IP/M32/J","10-07-
2023",Wrocław,"22-06-
2023","22-06-
2023","Stowarzyszenie 
Autorów ZAIKS 
 
Platforma 
Obywatelska RP","Michał Kulig 
 
 
Jan Grabiec","w
ynagrodzeni
e autorskie","194,57",negocjacje,-,39,39
176,-,"11-05-
2023",Orzesze,"22-05-
2023","22-05-
2023","Miejski Ośrodek 
Kultury  
 
Platforma 
Obywatelska RP","Bartłomiej 
Marek 
Jan Grabiec",najem sali,"100,00",negocjacje,-,39,39
177,"OFI/BPG/
011/23","11-05-
2023",Kraków,"15-05-
2023","15-05-
2023","Boss Protection 
Group sp. z o.o. 
 
 
Platforma 
Obywatelska RP","Michał Scąber 
Jan Grabiec",ochrona,"2214,00",negocjacje,-,39,39
178,30/2023,"11-05-
2023",Jasień,"11-05-
2023","11-05-
2023","Miejsko-Gminny 
Ośrodek Kultury 
 
Platforma 
Obywatelska RP","Łukasz 
Michałkiewicz 
Jan Grabiec",najem sali,"150,00",negocjacje,-,40,40
179,"RA-BZ-
O/36/2023","11-05-
2023","Zielona 
Góra","11-05-
2023","11-05-
2023","Uniwersytet 
Zielonogórski 
Platforma 
Obywatelska RP","Katarzyna 
Łasińska 
Jan Grabiec",najem auli,"664,20",negocjacje,-,40,40
180,"GOK 
17/2023","11-05-
2023",Bojadła,"11-05-
2023","11-05-
2023","Gmina Bojadła 
 
 
 
Platforma 
Obywatelska RP","Krzysztof 
Gola 
 
Agnieszka 
Szeląg","w
ynajem sali","73,80",negocjacje,-,40,40
181,"SP3.11.05.
2023","11-05-
2023",Sulechów,"11-05-
2023","11-05-
2023","Szkoła 
Podstawowa nr 3 
im. Janusza 
Kusocińskiego 
 
Platforma 
Obywatelska RP","Szymon 
Klocek 
 
 
 
Jan Grabiec",najem sali,"3000,00",negocjacje,-,40,40
182,"01/05/202
3","11-05-
2023",Warszawa,"11-05-
2023","czas 
nieokreślo
ny","Radosław 
Marczak 
Platforma 
Obywatelska RP","Radosław 
Marczak 
Jan Grabiec",licencja,"1845,00",negocjacje,-,40,40
183,-,"12-05-
2023",Gdynia,"18-05-
2023","18-05-
2023","Wyższa Szkoła 
Administracji i 
Biznesu 
Platforma 
Obywatelska RP","Regina 
Szutenberg 
 
 
Jan Grabiec",najem auli,"1451,40",negocjacje,-,41,41
184,-,"15-05-
2023",Warszawa,"15-05-
2023","czas 
nieokreślo
ny","Multinewsroom  
Jan 
Domaniewski 
 
Platforma 
Obywatelska RP","Jan 
Domaniewski 
 
 
 
Jan Grabiec","redakcja i 
skład 
newslettera","615,00",negocjacje,-,41,41
185,-,"15-05-
2023",Warszawa,"15-05-
2023","02-06-
2023","Telewizja 
Echo24 sp. z o.o. 
 
Platforma 
Obywatelska RP","Paweł Czuma,  
Tomasz 
Nykiel 
 
 
Jan Grabiec","produkcja 
spotu","118080,00",negocjacje,-,41,41
186,"177/ZW/E
L/2023","15-05-
2023","Bydgoszc
z","22-05-
2023","22-05-
2023","Miasto 
Bydgoszcz 
Platforma 
Obywatelska RP","Adam Soroko 
Jan Grabiec",najem sali,"295,20",negocjacje,-,41,41
187,-,"16-05-
2023",Jeziorany,"22-05-
2023","22-05-
2023","Miejski Ośrodek 
Kultury w 
Jezioranach 
 
Platforma 
Obywatelska RP","Mikołaj Bosch 
Jan Grabiec",najem sali,"450,00",negocjacje,-,41,41
188,2/N/2023,"16-05-
2023",Cieplewo,"18-05-
2023","18-05-
2023","Ośrodek 
Kultury, Sztuki i 
Biblioteki 
Publicznej 
Gminy Pruszcz 
Gdańskim 
Platforma 
Obywatelska RP","Grzegorz 
Cwaliński 
 
Jan Grabiec",najem sali,"500,00",negocjacje,-,42,42
189,-,"17-05-
2023",Kartuzy,"19-05-
2023","19-05-
2023","Powiat Kartuski 
Platforma 
Obywatelska RP","Bogdan Łapa, 
Piotr Fikus 
Jan Grabiec",najem sali,"400,00",negocjacje,-,42,42
190,-,"17-05-
2023",Warszawa,"19-05-
2023","19-05-
2023","Cobra Security 
Mariusz Keft 
 
 
Platforma 
Obywatelska RP","Mariusz Kreft 
Jan Grabiec",ochrona,"1250,00",negocjacje,-,42,42
191,1/2023,"18-05-
2023",Malbork,"18-05-
2023","18-05-
2023","Powiat 
Malborski  
 
Platforma 
Obywatelska RP","Roman 
Klofczyński 
Jan Grabiec",najem sali,"246,00",negocjacje,-,42,42
192,-,"18-05-
2023",Rozogi,"22-05-
2023","22-05-
2023","Gminny Ośrodek 
Kultury w 
Rozogach 
 
Platforma 
Obywatelska RP","Karolina 
lewandowska- 
Zając 
Jan Grabiec",najem sali,"350,00",negocjacje,-,42,42
193,"03/05/202
3","19-05-
2023",Sopot,"04-06-
2023","04-06-
2023","Tomasz Gałązka 
AutoComfort 
Platforma 
Obywatelska RP","Tomasz 
Gałązka 
Jan Grabiec","usługa 
transportowa","44712,00",negocjacje,-,43,43
194,-,"19-05-
2023",Szczytno,"22-05-
2023","22-05-
2023","Miejski Dom 
Kultury w 
Szczytnie 
 
Platforma 
Obywatelska RP","Andrzej 
Materna 
 
 
 
Jan Grabiec",najem sali,"492,00",negocjacje,-,43,43
195,"Aneks do 
umowy z 
dnia 
27.03.2023 
r","22-05-
2023",Warszawa,"22-05-
2023","26-05-
2023","Rio Creativo Sp. 
z o.o. 
Platforma 
Obywatelska RP","Marcin 
Zgórski 
 
 
 
Jan Grabiec","świadczenie  
usług 
reklamowych-
projekt 
dodatkowej 
podstrony","1722,00",negocjacje,-,43,43
196,-,"22-05-
2023",Warszawa,"22-05-
2023","04-06-
2023","Dom Mediowy 
AM Studio sp. z 
o.o. 
 
 
Platforma 
Obywatelska RP","Andrzej 
Moebus 
Jan Grabiec","organizacja i 
przeprowadze
nie imprezy","1 610 050,36",negocjacje,-,43,43
197,23-066-PR,"25-05-
2023",Warszawa,"25-05-
2023","31-12-
2025","Miejski Zakład 
Autobusowy 
Platforma 
Obywatelska RP","Jan 
Kuźmiński, 
Tomasz Sygut 
 
 
 
Jan Grabiec","umowa 
ramowa-
emisja 
spotów, 
ekspozycja",-,negocjacje,-,43,43
198,Aneks nr 2,"25-07-
2023",Warszawa,"27-02-
2023","31-07-
2023","Warsaw 
Memetica 
Franciszek 
Bielowicki 
 
Platforma 
Obywatelska RP","Franciszek 
Bielowicki 
Jan Grabiec","Aneks do 
umowy 
zaprojektowa
nia 
kwestionarius
za z dnia 27-
02-2023","zmiana 
terminu 
zakończenia
a umowy",negocjacje,-,44,44
199,01/065-PR,"26-05-
2023",Warszawa,"29-05-
2023","04-06-
2023","Miejski Zakład 
Autobusowy 
Platforma 
Obywatelska RP","Grzegorz 
Rogólski, 
Ireneusz 
Tondera 
Jan Grabiec","produkcja i 
ekspozycja 
reklam","22 813,43",negocjacje,-,44,44
200,Aneks nr 1,"30-05-
2023",Sopot,"04-06-
2023","04-06-
2023","Tomasz Gałązka 
AutoComfort 
Platforma 
Obywatelska RP","Tomasz 
Gałązka 
Jan Grabiec","usługa 
transportowa","zmiana 
kwoty na 
67068,00",negocjacje,-,44,44
201,"11/05/202
3/SOK","30-05-
2023","Sokołów 
Podlaski","31-05-
2023","06-06-
2023","Sokołowski 
Dom Kultury 
Platforma 
Obywatelska RP","Marcin 
Celiński 
Jan Grabiec",wynajem sali,"861,00",negocjacje,-,44,44
202,"Aneks do 
umowy na 
monitoring 
internetu z 
dnia 
30.11.2022 
r.","01-06-
2023",Warszawa,"01-06-
2023","31-08-
2023","YES WE CAN 
sp. zo.o. 
 
Platforma 
Obywatelska RP","Rafał 
Bojanowski 
 
Jan Grabiec","zmiana 
okresu 
trwania 
umowy",-,negocjacje,-,44,44
